1; 47650
2; 27099
3; 18454
4; 12888
5; 11502
6; 9584
7; 8961
8; 8825
9; 8278
10; 8185
11; 8032
12; 7961
13; 8228
14; 8075
15; 8093
16; 8088
17; 8032
18; 7982
19; 8025
20; 8057
21; 7975
22; 8149
23; 8039
24; 7995
25; 8094
26; 8032
27; 8063
28; 7995
29; 8012
30; 8028
31; 8122
32; 8034
33; 8088
34; 8170
35; 8087
36; 8066
37; 8018
38; 8159
39; 8013
40; 8060
41; 8092
42; 8003
43; 8079
44; 8057
45; 8345
46; 8040
47; 8024
48; 8002
49; 8018
50; 8021
51; 8016
52; 8038
53; 8050
54; 8014
55; 8027
56; 8015
57; 8033
58; 8078
59; 8012
60; 8017
61; 8029
62; 8024
63; 8027
64; 8114
